AWS Account Name,Account ID,Aliases,Owner,Email,Account Type,Accessible to SIRT
AnimalLogic-Dev-01,837492615023,AnimalLogic-Dev-01,AnimalLogic,awsroot-animallogic-dev-01@compliancecow.com,Flex,No
ScanLine-Prod-02,512837492610,ScanLine-Prod-02,ScanLine,awsroot-scanline-prod-02@compliancecow.com,Flex,Yes
SparyFox-Test-03,294857362819,SparyFox-Test-03,SparyFox,awsroot-sparyfox-test-03@compliancecow.com,Flex,No
BossFight-Staging-04,675849302145,BossFight-Staging-04,BossFight,awsroot-bossfight-staging-04@compliancecow.com,Flex,No
NextGames-Sandbox-05,938475612039,NextGames-Sandbox-05,NextGames,awsroot-nextgames-sandbox-05@compliancecow.com,Flex,Yes
NightSchool-DevOps-06,456789123045,NightSchool-DevOps-06,NightSchool,awsroot-nightschool-devops-06@compliancecow.com,Flex,No
RoaldDahl-Prod-07,789012345672,RoaldDahl-Prod-07,RoaldDahl,awsroot-roalddahl-prod-07@compliancecow.com,Flex,No
AnimalLogic-Analytics-08,345678901238,AnimalLogic-Analytics-08,AnimalLogic,awsroot-animallogic-analytics-08@compliancecow.com,Flex,Yes
ScanLine-Data-09,901234567894,ScanLine-Data-09,ScanLine,awsroot-scanline-data-09@compliancecow.com,Flex,No
SparyFox-Media-10,234567890127,SparyFox-Media-10,SparyFox,awsroot-sparyfox-media-10@compliancecow.com,Flex,No
BossFight-Gaming-11,678901234568,BossFight-Gaming-11,BossFight,awsroot-bossfight-gaming-11@compliancecow.com,Flex,Yes 
NextGames-Web-12,123456789034,NextGames-Web-12,NextGames,awsroot-nextgames-web-12@compliancecow.com,Flex,No
NightSchool-Edu-13,890123456785,NightSchool-Edu-13,NightSchool,awsroot-nightschool-edu-13@compliancecow.com,Flex,No
RoaldDahl-Stories-14,567890123459,RoaldDahl-Stories-14,RoaldDahl,awsroot-roalddahl-stories-14@compliancecow.com,Flex,Yes
AnimalLogic-Render-15,432109876512,AnimalLogic-Render-15,AnimalLogic,awsroot-animallogic-render-15@compliancecow.com,Flex,No
ScanLine-VFX-16,987654321098,ScanLine-VFX-16,ScanLine,awsroot-scanline-vfx-16@compliancecow.com,Flex,No
SparyFox-Animation-17,210987654327,SparyFox-Animation-17,SparyFox,awsroot-sparyfox-animation-17@compliancecow.com,Flex,Yes
BossFight-Engine-18,654321098765,BossFight-Engine-18,BossFight,awsroot-bossfight-engine-18@compliancecow.com,Flex,No
NextGames-Mobile-19,109876543219,NextGames-Mobile-19,NextGames,awsroot-nextgames-mobile-19@compliancecow.com,Flex,No
NightSchool-LMS-20,876543210987,NightSchool-LMS-20,NightSchool,awsroot-nightschool-lms-20@compliancecow.com,Flex,Yes
RoaldDahl-Publishing-21,543210987654,RoaldDahl-Publishing-21,RoaldDahl,awsroot-roalddahl-publishing-21@compliancecow.com,Flex,No
AnimalLogic-AI-22,321098765432,AnimalLogic-AI-22,AnimalLogic,awsroot-animallogic-ai-22@compliancecow.com,Flex,No
ScanLine-Simulation-23,098765432109,ScanLine-Simulation-23,ScanLine,awsroot-scanline-simulation-23@compliancecow.com,Flex,Yes
SparyFox-AR-24,765432109876,SparyFox-AR-24,SparyFox,awsroot-sparyfox-ar-24@compliancecow.com,Flex,No
BossFight-VR-25,432109876543,BossFight-VR-25,BossFight,awsroot-bossfight-vr-25@compliancecow.com,Flex,No
NextGames-Console-26,109876543210,NextGames-Console-26,NextGames,awsroot-nextgames-console-26@compliancecow.com,Flex,Yes
NightSchool-Research-27,737590571602,NightSchool-Research-27,NightSchool,awsroot-nightschool-research-27@compliancecow.com,Flex,No
RoaldDahl-Audio-28,797085006169,RoaldDahl-Audio-28,RoaldDahl,awsroot-roalddahl-audio-28@compliancecow.com,Flex,No
AnimalLogic-ML-29,210987654321,AnimalLogic-ML-29,AnimalLogic,awsroot-animallogic-ml-29@compliancecow.com,Flex,Yes
ScanLine-Lighting-30,156457597914,ScanLine-Lighting-30,ScanLine,awsroot-scanline-lighting-30@compliancecow.com,Flex,No
SparyFox-Rigging-31,797037520738,SparyFox-Rigging-31,SparyFox,awsroot-sparyfox-rigging-31@compliancecow.com,Flex,No
BossFight-Physics-32,297883053411,BossFight-Physics-32,BossFight,awsroot-bossfight-physics-32@compliancecow.com,Flex,Yes
NextGames-NFT-33,577956945366,NextGames-NFT-33,NextGames,awsroot-nextgames-nft-33@compliancecow.com,Flex,No
NightSchool-Virtual-34,149089920667,NightSchool-Virtual-34,NightSchool,awsroot-nightschool-virtual-34@compliancecow.com,Flex,No
RoaldDahl-Digital-35,467476062114,RoaldDahl-Digital-35,RoaldDahl,awsroot-roalddahl-digital-35@compliancecow.com,Flex,Yes
AnimalLogic-Cloud-36,600385748709,AnimalLogic-Cloud-36,AnimalLogic,awsroot-animallogic-cloud-36@compliancecow.com,Flex,No
ScanLine-Pipeline-37,314377475488,ScanLine-Pipeline-37,ScanLine,awsroot-scanline-pipeline-37@compliancecow.com,Flex,No
SparyFox-Shaders-38,224535990464,SparyFox-Shaders-38,SparyFox,awsroot-sparyfox-shaders-38@compliancecow.com,Flex,Yes
BossFight-Network-39,434478435527,BossFight-Network-39,BossFight,awsroot-bossfight-network-39@compliancecow.com,Flex,No
NextGames-Server-40,677378120826,NextGames-Server-40,NextGames,awsroot-nextgames-server-40@compliancecow.com,Flex,No
NightSchool-Database-41,564760526248,NightSchool-Database-41,NightSchool,awsroot-nightschool-database-41@compliancecow.com,Flex,Yes
RoaldDahl-Content-42,766768124795,RoaldDahl-Content-42,RoaldDahl,awsroot-roalddahl-content-42@compliancecow.com,Flex,No
AnimalLogic-Security-43,889878563794,AnimalLogic-Security-43,AnimalLogic,awsroot-animallogic-security-43@compliancecow.com,Flex,No
ScanLine-Backup-44,571226318988,ScanLine-Backup-44,ScanLine,awsroot-scanline-backup-44@compliancecow.com,Flex,Yes
SparyFox-Archive-45,867475286264,SparyFox-Archive-45,SparyFox,awsroot-sparyfox-archive-45@compliancecow.com,Flex,No
BossFight-Logging-46,889647563015,BossFight-Logging-46,BossFight,awsroot-bossfight-logging-46@compliancecow.com,Flex,No
NextGames-CDN-47,118895402827,NextGames-CDN-47,NextGames,awsroot-nextgames-cdn-47@compliancecow.com,Flex,Yes
NightSchool-Streaming-48,729304589620,NightSchool-Streaming-48,NightSchool,awsroot-nightschool-streaming-48@compliancecow.com,Flex,No
RoaldDahl-Media-49,132016498377,RoaldDahl-Media-49,RoaldDahl,awsroot-roalddahl-media-49@compliancecow.com,Flex,No
AnimalLogic-Monitoring-50,212713039082,AnimalLogic-Monitoring-50,AnimalLogic,awsroot-animallogic-monitoring-50@compliancecow.com,Flex,Yes
ScanLine-CI-CD-51,139125221109,ScanLine-CI-CD-51,ScanLine,awsroot-scanline-ci-cd-51@compliancecow.com,Flex,No
SparyFox-Testing-52,442171334070,SparyFox-Testing-52,SparyFox,awsroot-sparyfox-testing-52@compliancecow.com,Flex,No
BossFight-QA-53,114365222878,BossFight-QA-53,BossFight,awsroot-bossfight-qa-53@compliancecow.com,Flex,Yes
NextGames-Stage-54,538011496391,NextGames-Stage-54,NextGames,awsroot-nextgames-stage-54@compliancecow.com,Flex,No
